D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
0.0,42.666015625,42.666015625,10.416015625,10.416015625,74.416015625,42.416015625,10.416015625,169.166015625,42.666015625,21.0830078125,21.0830078125,21.3330078125,85.3330078125,170.666015625,21.3330078125,-21.333984375,21.3330078125,74.41650390625,42.66650390625,853.3330078125
1.0,42.666015625,42.666015625,10.416015625,10.416015625,74.416015625,42.416015625,10.416015625,169.166015625,42.666015625,21.0830078125,21.0830078125,21.3330078125,85.3330078125,170.666015625,21.3330078125,-21.333984375,21.3330078125,74.41650390625,42.66650390625,853.3330078125
2.0,43.1640625,43.1640625,10.9140625,10.66455078125,74.66455078125,42.66455078125,10.9140625,169.6640625,42.9140625,21.5810546875,21.5810546875,21.5810546875,86.3291015625,174.658203125,21.8291015625,-20.8359375,21.5810546875,74.41455078125,43.16455078125,855.3291015625
3.0,43.1640625,43.1640625,10.9140625,10.66455078125,74.66455078125,42.66455078125,10.9140625,169.6640625,42.9140625,21.5810546875,21.5810546875,21.5810546875,86.3291015625,174.658203125,21.8291015625,-20.8359375,21.5810546875,74.41455078125,43.16455078125,855.3291015625
4.0,43.66015625,43.66015625,10.91015625,10.66064453125,74.66064453125,42.66064453125,10.91015625,170.16015625,43.41015625,21.5771484375,22.0771484375,21.8271484375,87.3212890625,178.642578125,22.3212890625,-20.33984375,21.8271484375,74.41064453125,43.66064453125,857.3212890625
5.0,43.66015625,43.66015625,10.91015625,10.66064453125,74.66064453125,42.66064453125,10.91015625,170.16015625,43.41015625,21.5771484375,22.0771484375,21.8271484375,87.3212890625,178.642578125,22.3212890625,-20.33984375,21.8271484375,74.41064453125,43.66064453125,857.3212890625
6.0,44.154296875,44.154296875,11.404296875,10.90478515625,74.90478515625,42.90478515625,11.404296875,170.654296875,44.154296875,22.0712890625,22.5712890625,22.0712890625,88.3095703125,182.619140625,22.8095703125,-19.845703125,22.0712890625,74.40478515625,44.15478515625,859.3095703125
7.0,44.154296875,44.154296875,11.404296875,10.90478515625,74.90478515625,42.90478515625,11.404296875,170.654296875,44.154296875,22.0712890625,22.5712890625,22.0712890625,88.3095703125,182.619140625,22.8095703125,-19.845703125,22.0712890625,74.40478515625,44.15478515625,859.3095703125
8.0,44.646484375,44.646484375,11.396484375,10.64697265625,74.64697265625,42.64697265625,11.396484375,171.146484375,44.646484375,21.5634765625,23.0634765625,22.3134765625,89.2939453125,186.587890625,23.2939453125,-19.353515625,22.3134765625,74.39697265625,44.64697265625,861.2939453125
9.0,44.646484375,44.646484375,11.396484375,10.64697265625,74.64697265625,42.64697265625,11.396484375,171.146484375,44.646484375,21.5634765625,23.0634765625,22.3134765625,89.2939453125,186.587890625,23.2939453125,-19.353515625,22.3134765625,74.39697265625,44.64697265625,861.2939453125
10.0,45.13671875,45.13671875,11.88671875,10.88720703125,74.88720703125,42.88720703125,11.88671875,171.63671875,44.88671875,22.0537109375,23.5537109375,22.5537109375,90.2744140625,190.548828125,23.7744140625,-18.86328125,22.5537109375,74.38720703125,45.13720703125,863.2744140625
11.0,45.13671875,45.13671875,11.88671875,10.88720703125,74.88720703125,42.88720703125,11.88671875,171.63671875,44.88671875,22.0537109375,23.5537109375,22.5537109375,90.2744140625,190.548828125,23.7744140625,-18.86328125,22.5537109375,74.38720703125,45.13720703125,863.2744140625
12.0,45.625,45.625,11.875,11.12548828125,75.12548828125,43.12548828125,11.875,172.125,45.375,22.5419921875,24.0419921875,22.7919921875,91.2509765625,194.501953125,24.2509765625,-18.375,22.7919921875,74.37548828125,45.62548828125,865.2509765625
13.0,45.625,45.625,11.875,11.12548828125,75.12548828125,43.12548828125,11.875,172.125,45.375,22.5419921875,24.0419921875,22.7919921875,91.2509765625,194.501953125,24.2509765625,-18.375,22.7919921875,74.37548828125,45.62548828125,865.2509765625
14.0,46.111328125,46.111328125,12.361328125,11.36181640625,75.36181640625,43.36181640625,12.361328125,172.611328125,46.111328125,23.0283203125,24.5283203125,23.0283203125,92.2236328125,198.447265625,24.7236328125,-17.888671875,23.0283203125,74.36181640625,46.11181640625,867.2236328125
15.0,46.111328125,46.111328125,12.361328125,11.36181640625,75.36181640625,43.36181640625,12.361328125,172.611328125,46.111328125,23.0283203125,24.5283203125,23.0283203125,92.2236328125,198.447265625,24.7236328125,-17.888671875,23.0283203125,74.36181640625,46.11181640625,867.2236328125
16.0,46.595703125,46.595703125,12.345703125,10.59619140625,74.59619140625,42.59619140625,12.345703125,173.095703125,46.595703125,21.5126953125,25.0126953125,23.2626953125,93.1923828125,202.384765625,25.1923828125,-17.404296875,23.2626953125,74.34619140625,46.59619140625,869.1923828125
17.0,46.595703125,46.595703125,12.345703125,10.59619140625,74.59619140625,42.59619140625,12.345703125,173.095703125,46.595703125,21.5126953125,25.0126953125,23.2626953125,93.1923828125,202.384765625,25.1923828125,-17.404296875,23.2626953125,74.34619140625,46.59619140625,869.1923828125
18.0,47.078125,47.078125,12.828125,10.82861328125,74.82861328125,42.82861328125,12.828125,173.578125,46.828125,21.9951171875,25.4951171875,23.4951171875,94.1572265625,206.314453125,25.6572265625,-16.921875,23.4951171875,74.32861328125,47.07861328125,871.1572265625
19.0,47.078125,47.078125,12.828125,10.82861328125,74.82861328125,42.82861328125,12.828125,173.578125,46.828125,21.9951171875,25.4951171875,23.4951171875,94.1572265625,206.314453125,25.6572265625,-16.921875,23.4951171875,74.32861328125,47.07861328125,871.1572265625
20.0,47.55859375,47.55859375,12.80859375,11.05908203125,75.05908203125,43.05908203125,12.80859375,174.05859375,47.30859375,22.4755859375,25.9755859375,23.7255859375,95.1181640625,210.236328125,26.1181640625,-16.44140625,23.7255859375,74.30908203125,47.55908203125,873.1181640625
21.0,47.55859375,47.55859375,12.80859375,11.05908203125,75.05908203125,43.05908203125,12.80859375,174.05859375,47.30859375,22.4755859375,25.9755859375,23.7255859375,95.1181640625,210.236328125,26.1181640625,-16.44140625,23.7255859375,74.30908203125,47.55908203125,873.1181640625
22.0,48.037109375,48.037109375,13.287109375,11.28759765625,75.28759765625,43.28759765625,13.287109375,174.537109375,48.037109375,22.9541015625,26.4541015625,23.9541015625,96.0751953125,214.150390625,26.5751953125,-15.962890625,23.9541015625,74.28759765625,48.03759765625,875.0751953125
23.0,48.037109375,48.037109375,13.287109375,11.28759765625,75.28759765625,43.28759765625,13.287109375,174.537109375,48.037109375,22.9541015625,26.4541015625,23.9541015625,96.0751953125,214.150390625,26.5751953125,-15.962890625,23.9541015625,74.28759765625,48.03759765625,875.0751953125
24.0,48.513671875,48.513671875,13.263671875,11.51416015625,75.51416015625,43.51416015625,13.263671875,175.013671875,48.513671875,23.4306640625,26.9306640625,24.1806640625,97.0283203125,218.056640625,27.0283203125,-15.486328125,24.1806640625,74.26416015625,48.51416015625,877.0283203125
25.0,48.513671875,48.513671875,13.263671875,11.51416015625,75.51416015625,43.51416015625,13.263671875,175.013671875,48.513671875,23.4306640625,26.9306640625,24.1806640625,97.0283203125,218.056640625,27.0283203125,-15.486328125,24.1806640625,74.26416015625,48.51416015625,877.0283203125
26.0,48.98828125,48.98828125,13.73828125,11.73876953125,75.73876953125,43.73876953125,13.73828125,175.48828125,48.73828125,23.9052734375,27.4052734375,24.4052734375,97.9775390625,221.955078125,27.4775390625,-15.01171875,24.4052734375,74.23876953125,48.98876953125,878.9775390625
27.0,48.98828125,48.98828125,13.73828125,11.73876953125,75.73876953125,43.73876953125,13.73828125,175.48828125,48.73828125,23.9052734375,27.4052734375,24.4052734375,97.9775390625,221.955078125,27.4775390625,-15.01171875,24.4052734375,74.23876953125,48.98876953125,878.9775390625
28.0,49.4609375,49.4609375,13.7109375,11.96142578125,75.96142578125,43.96142578125,13.7109375,175.9609375,49.2109375,24.3779296875,27.8779296875,24.6279296875,98.9228515625,225.845703125,27.9228515625,-14.5390625,24.6279296875,74.21142578125,49.46142578125,880.9228515625
29.0,49.4609375,49.4609375,13.7109375,11.96142578125,75.96142578125,43.96142578125,13.7109375,175.9609375,49.2109375,24.3779296875,27.8779296875,24.6279296875,98.9228515625,225.845703125,27.9228515625,-14.5390625,24.6279296875,74.21142578125,49.46142578125,880.9228515625
30.0,49.931640625,49.931640625,14.181640625,12.18212890625,76.18212890625,44.18212890625,14.181640625,176.431640625,49.931640625,24.8486328125,28.3486328125,24.8486328125,99.8642578125,229.728515625,28.3642578125,-14.068359375,24.8486328125,74.18212890625,49.93212890625,882.8642578125
31.0,49.931640625,49.931640625,14.181640625,12.18212890625,76.18212890625,44.18212890625,14.181640625,176.431640625,49.931640625,24.8486328125,28.3486328125,24.8486328125,99.8642578125,229.728515625,28.3642578125,-14.068359375,24.8486328125,74.18212890625,49.93212890625,882.8642578125
32.0,50.400390625,50.400390625,14.150390625,10.40087890625,74.40087890625,42.40087890625,14.150390625,176.900390625,50.400390625,21.3173828125,28.8173828125,25.0673828125,100.8017578125,233.603515625,28.8017578125,-13.599609375,25.0673828125,74.15087890625,50.40087890625,884.8017578125
33.0,50.400390625,50.400390625,14.150390625,10.40087890625,74.40087890625,42.40087890625,14.150390625,176.900390625,50.400390625,21.3173828125,28.8173828125,25.0673828125,100.8017578125,233.603515625,28.8017578125,-13.599609375,25.0673828125,74.15087890625,50.40087890625,884.8017578125
34.0,50.8671875,50.8671875,14.6171875,10.61767578125,74.61767578125,42.61767578125,14.6171875,177.3671875,50.6171875,21.7841796875,29.2841796875,25.2841796875,101.7353515625,237.470703125,29.2353515625,-13.1328125,25.2841796875,74.11767578125,50.86767578125,886.7353515625
35.0,50.8671875,50.8671875,14.6171875,10.61767578125,74.61767578125,42.61767578125,14.6171875,177.3671875,50.6171875,21.7841796875,29.2841796875,25.2841796875,101.7353515625,237.470703125,29.2353515625,-13.1328125,25.2841796875,74.11767578125,50.86767578125,886.7353515625
36.0,51.33203125,51.33203125,14.58203125,10.83251953125,74.83251953125,42.83251953125,14.58203125,177.83203125,51.08203125,22.2490234375,29.7490234375,25.4990234375,102.6650390625,241.330078125,29.6650390625,-12.66796875,25.4990234375,74.08251953125,51.33251953125,888.6650390625
37.0,51.33203125,51.33203125,14.58203125,10.83251953125,74.83251953125,42.83251953125,14.58203125,177.83203125,51.08203125,22.2490234375,29.7490234375,25.4990234375,102.6650390625,241.330078125,29.6650390625,-12.66796875,25.4990234375,74.08251953125,51.33251953125,888.6650390625
38.0,51.794921875,51.794921875,15.044921875,11.04541015625,75.04541015625,43.04541015625,15.044921875,178.294921875,51.794921875,22.7119140625,30.2119140625,25.7119140625,103.5908203125,245.181640625,30.0908203125,-12.205078125,25.7119140625,74.04541015625,51.79541015625,890.5908203125
39.0,51.794921875,51.794921875,15.044921875,11.04541015625,75.04541015625,43.04541015625,15.044921875,178.294921875,51.794921875,22.7119140625,30.2119140625,25.7119140625,103.5908203125,245.181640625,30.0908203125,-12.205078125,25.7119140625,74.04541015625,51.79541015625,890.5908203125
40.0,52.255859375,52.255859375,15.005859375,11.25634765625,75.25634765625,43.25634765625,15.005859375,178.755859375,52.255859375,23.1728515625,30.6728515625,25.9228515625,104.5126953125,249.025390625,30.5126953125,-11.744140625,25.9228515625,74.00634765625,52.25634765625,892.5126953125
41.0,52.255859375,52.255859375,15.005859375,11.25634765625,75.25634765625,43.25634765625,15.005859375,178.755859375,52.255859375,23.1728515625,30.6728515625,25.9228515625,104.5126953125,249.025390625,30.5126953125,-11.744140625,25.9228515625,74.00634765625,52.25634765625,892.5126953125
42.0,52.71484375,52.71484375,15.46484375,11.46533203125,75.46533203125,43.46533203125,15.46484375,179.21484375,52.46484375,23.6318359375,31.1318359375,26.1318359375,105.4306640625,252.861328125,30.9306640625,-11.28515625,26.1318359375,73.96533203125,52.71533203125,894.4306640625
43.0,52.71484375,52.71484375,15.46484375,11.46533203125,75.46533203125,43.46533203125,15.46484375,179.21484375,52.46484375,23.6318359375,31.1318359375,26.1318359375,105.4306640625,252.861328125,30.9306640625,-11.28515625,26.1318359375,73.96533203125,52.71533203125,894.4306640625
44.0,53.171875,53.171875,15.421875,11.67236328125,75.67236328125,43.67236328125,15.421875,179.671875,52.921875,24.0888671875,31.5888671875,26.3388671875,106.3447265625,256.689453125,31.3447265625,-10.828125,26.3388671875,73.92236328125,53.17236328125,896.3447265625
45.0,53.171875,53.171875,15.421875,11.67236328125,75.67236328125,43.67236328125,15.421875,179.671875,52.921875,24.0888671875,31.5888671875,26.3388671875,106.3447265625,256.689453125,31.3447265625,-10.828125,26.3388671875,73.92236328125,53.17236328125,896.3447265625
46.0,53.626953125,53.626953125,15.876953125,11.87744140625,75.87744140625,43.87744140625,15.876953125,180.126953125,53.626953125,24.5439453125,32.0439453125,26.5439453125,107.2548828125,260.509765625,31.7548828125,-10.373046875,26.5439453125,73.87744140625,53.62744140625,898.2548828125
47.0,53.626953125,53.626953125,15.876953125,11.87744140625,75.87744140625,43.87744140625,15.876953125,180.126953125,53.626953125,24.5439453125,32.0439453125,26.5439453125,107.2548828125,260.509765625,31.7548828125,-10.373046875,26.5439453125,73.87744140625,53.62744140625,898.2548828125
48.0,54.080078125,54.080078125,15.830078125,12.08056640625,76.08056640625,44.08056640625,15.830078125,180.580078125,54.080078125,24.9970703125,32.4970703125,26.7470703125,108.1611328125,264.322265625,32.1611328125,-9.919921875,26.7470703125,73.83056640625,54.08056640625,900.1611328125
49.0,54.080078125,54.080078125,15.830078125,12.08056640625,76.08056640625,44.08056640625,15.830078125,180.580078125,54.080078125,24.9970703125,32.4970703125,26.7470703125,108.1611328125,264.322265625,32.1611328125,-9.919921875,26.7470703125,73.83056640625,54.08056640625,900.1611328125
50.0,54.53125,54.53125,16.28125,12.28173828125,76.28173828125,44.28173828125,16.28125,181.03125,54.28125,25.4482421875,32.9482421875,26.9482421875,109.0634765625,268.126953125,32.5634765625,-9.46875,26.9482421875,73.78173828125,54.53173828125,902.0634765625
51.0,54.53125,54.53125,16.28125,12.28173828125,76.28173828125,44.28173828125,16.28125,181.03125,54.28125,25.4482421875,32.9482421875,26.9482421875,109.0634765625,268.126953125,32.5634765625,-9.46875,26.9482421875,73.78173828125,54.53173828125,902.0634765625
52.0,54.98046875,54.98046875,16.23046875,12.48095703125,76.48095703125,44.48095703125,16.23046875,181.48046875,54.73046875,25.8974609375,33.3974609375,27.1474609375,109.9619140625,271.923828125,32.9619140625,-9.01953125,27.1474609375,73.73095703125,54.98095703125,903.9619140625
53.0,54.98046875,54.98046875,16.23046875,12.48095703125,76.48095703125,44.48095703125,16.23046875,181.48046875,54.73046875,25.8974609375,33.3974609375,27.1474609375,109.9619140625,271.923828125,32.9619140625,-9.01953125,27.1474609375,73.73095703125,54.98095703125,903.9619140625
54.0,55.427734375,55.427734375,16.677734375,12.67822265625,76.67822265625,44.67822265625,16.677734375,181.927734375,55.427734375,26.3447265625,33.8447265625,27.3447265625,110.8564453125,275.712890625,33.3564453125,-8.572265625,27.3447265625,73.67822265625,55.42822265625,905.8564453125
