D,S1,S1_bot_bot,S2,S3,S4,S5,ProposedLTB,ProposedLTT2,Rahimi,Sanyal,Chen,ZZhu,Zhu,Conventional,Yuan12,Yuan15,Zhao,Jajodia,Hu,Du
0.0,42.666015625,42.666015625,138.416015625,138.416015625,74.166015625,106.166015625,138.416015625,297.666015625,42.916015625,148.5830078125,148.5830078125,21.0830078125,85.3330078125,681.666015625,21.3330078125,42.666015625,21.3330078125,138.66650390625,42.66650390625,1108.833251953125
1.0,42.666015625,42.666015625,138.416015625,138.416015625,74.166015625,106.166015625,138.416015625,297.666015625,42.916015625,148.5830078125,148.5830078125,21.0830078125,85.3330078125,681.666015625,21.3330078125,42.666015625,21.3330078125,138.66650390625,42.66650390625,1107.835205078125
2.0,43.1640625,43.1640625,138.9140625,138.66455078125,74.66455078125,106.28955078125,138.9140625,297.1640625,43.1640625,149.0810546875,149.0810546875,21.3310546875,86.3291015625,683.658203125,21.8291015625,42.9140625,21.5810546875,139.16455078125,43.16455078125,1108.835205078125
3.0,43.1640625,43.1640625,138.9140625,138.66455078125,74.66455078125,106.28955078125,138.9140625,297.1640625,43.1640625,149.0810546875,149.0810546875,21.3310546875,86.3291015625,683.658203125,21.8291015625,42.9140625,21.5810546875,139.16455078125,43.16455078125,1107.841064453125
4.0,43.66015625,43.66015625,138.91015625,138.66064453125,74.66064453125,106.03564453125,138.91015625,297.66015625,43.66015625,149.0771484375,149.5771484375,21.5771484375,87.3212890625,685.642578125,22.3212890625,43.16015625,21.8271484375,139.66064453125,43.66064453125,1108.841064453125
5.0,43.66015625,43.66015625,138.91015625,138.66064453125,74.66064453125,106.03564453125,138.91015625,297.66015625,43.66015625,149.0771484375,149.5771484375,21.5771484375,87.3212890625,685.642578125,22.3212890625,43.16015625,21.8271484375,139.66064453125,43.66064453125,1107.850830078125
6.0,44.154296875,44.154296875,139.404296875,138.90478515625,74.90478515625,106.02978515625,139.404296875,299.154296875,44.404296875,149.5712890625,150.0712890625,21.8212890625,88.3095703125,687.619140625,22.8095703125,43.404296875,22.0712890625,140.15478515625,44.15478515625,1108.850830078125
7.0,44.154296875,44.154296875,139.404296875,138.90478515625,74.90478515625,106.02978515625,139.404296875,299.154296875,44.404296875,149.5712890625,150.0712890625,21.8212890625,88.3095703125,687.619140625,22.8095703125,43.404296875,22.0712890625,140.15478515625,44.15478515625,1107.864501953125
8.0,44.646484375,44.646484375,139.396484375,138.64697265625,74.64697265625,105.52197265625,139.396484375,299.646484375,44.896484375,149.0634765625,150.5634765625,22.0634765625,89.2939453125,689.587890625,23.2939453125,43.646484375,22.3134765625,140.64697265625,44.64697265625,1108.864501953125
9.0,44.646484375,44.646484375,139.396484375,138.64697265625,74.64697265625,105.52197265625,139.396484375,299.646484375,44.896484375,149.0634765625,150.5634765625,22.0634765625,89.2939453125,689.587890625,23.2939453125,43.646484375,22.3134765625,140.64697265625,44.64697265625,1107.882080078125
10.0,45.13671875,45.13671875,139.88671875,138.88720703125,74.88720703125,105.51220703125,139.88671875,299.13671875,45.13671875,149.5537109375,151.0537109375,22.3037109375,90.2744140625,691.548828125,23.7744140625,43.88671875,22.5537109375,141.13720703125,45.13720703125,1108.882080078125
11.0,45.13671875,45.13671875,139.88671875,138.88720703125,74.88720703125,105.51220703125,139.88671875,299.13671875,45.13671875,149.5537109375,151.0537109375,22.3037109375,90.2744140625,691.548828125,23.7744140625,43.88671875,22.5537109375,141.13720703125,45.13720703125,1107.903564453125
